"","pais","codan","ano","lf1","lf2","lf3","lf4","ronda","code3","ultimo"
"1","Argentina","ARG 2001","2001",30.11859,37.66723,36.19755,37.79145,"2000","ARG","2001"
"2","Bolivia","BOL 2012","2012",23.10413,41.34919,43.64663,57.46887,"2010","BOL","2012"
"3","Brazil","BRA 2010","2010",28.11486,34.44915,48.9648,49.89509,"2010","BRA","2010"
"4","Chile","CHL 2002","2002",29.24638,47.69307,47.34297,57.33257,"2000","CHL","2002"
"5","Colombia","COL 2005","2005",29.25031,45.58575,58.57119,69.35502,"2000","COL","2005"
"6","Costa Rica","CRI 2011","2011",32.61072,38.83442,51.33657,53.74392,"2010","CRI","2011"
"7","Dominican Republic","DOM 2010","2010",24.9767,34.68175,50.64391,61.22549,"2010","DOM","2010"
"8","Ecuador","ECU 2010","2010",25.19935,34.95289,50.0947,56.73167,"2010","ECU","2010"
"9","El Salvador","SLV 2007","2007",31.63557,29.84769,53.97055,65.47641,"2000","SLV","2007"
"10","Guatemala","GTM 2002","2002",25.35512,45.98765,63.48975,72.63867,"2000","GTM","2002"
"11","Honduras","HND 2001","2001",22.90378,35.37264,60.87186,75.93905,"2000","HND","2001"
"12","Mexico","MEX 2010","2010",31.53209,56.73542,55.30586,56.49148,"2010","MEX","2010"
"13","Nicaragua","NIC 2005","2005",28.47225,40.81356,60.19884,77.07855,"2000","NIC","2005"
"14","Panama","PAN 2010","2010",27.91472,41.03221,53.83129,59.03952,"2010","PAN","2010"
"15","Paraguay","PRY 2002","2002",24.58794,33.98735,56.90642,70.98484,"2000","PRY","2002"
"16","Peru","PER 2007","2007",29.47215,43.99462,54.46033,64.65048,"2000","PER","2007"
"17","Uruguay","URY 2011","2011",25.56024,37.94917,28.53383,30.95703,"2010","URY","2011"
"18","Venezuela","VEN 2001","2001",30.16666,47.62537,60.38139,74.52728,"2000","VEN","2001"
